,Sample,Molar,Dye,R_Mean,R_Median,R_Mode,R_Min,R_Max,R_Std,G_Mean,G_Median,G_Mode,G_Min,G_Max,G_Std,B_Mean,B_Median,B_Mode,B_Min,B_Max,B_Std
0,007,10,0.0,107.89374110953058,108.0,108,67,114,1.3702085588892634,144.13022759601708,144.0,144,103,150,1.4008875786243546,108.41415362731152,108.0,108,67,113,1.546238114396639
1,008,10,300.0,93.64763313609467,94.0,94,79,99,1.1378027024362483,73.41562130177515,73.0,73,58,80,1.1871271068551414,0.14816568047337278,0.0,0,0,4,0.4547574381794833
2,010,1,300.0,50.940856793145656,51.0,51,45,59,1.5171408238424664,61.73938800489596,61.0,61,56,71,1.5231829450097991,0.5524112607099143,0.0,0,0,7,0.8314545731677812
3,012,0.1,300.0,12.156104547081991,12.0,11,4,28,2.9305689390102283,28.8890679078649,29.0,29,20,44,2.432509182180822,1.2361857023511158,1.0,1,0,15,1.3600346667165732
4,015,0.01,300.0,35.029209621993125,35.0,35,29,53,2.18884017529913,38.24154750027713,38.0,38,33,56,2.250956958103824,2.5166832945349737,2.0,1,0,25,2.2864808301030233
5,018,10,400.0,98.51498768546885,98.0,98,85,106,1.0995941892617385,70.47492040607918,70.0,70,58,79,1.1721851805612309,0.19607136420976753,0.0,0,0,7,0.504680029635896
6,020,1,400.0,75.93433179723502,76.0,76,71,83,1.2115641324641002,71.92130835503907,72.0,72,67,79,1.1871417443702865,0.16063915047084754,0.0,0,0,6,0.5145562114994107
7,022,0.1,400.0,36.64352363413137,36.0,36,23,57,2.1956894785633603,44.58489871086556,44.0,44,31,65,2.071423935335716,1.0176181706568448,1.0,1,0,21,1.1623293114165685
8,023,0.01,400.0,43.59975801572898,43.0,43,37,66,2.2999513268747487,38.04615849969752,38.0,38,32,60,2.3258688970184918,1.7332728372655777,1.0,1,0,30,1.8465153319464656
9,024,0.001,300.0,38.27862762237762,38.0,38,30,61,2.6526906852900165,41.48645104895105,41.0,41,33,62,2.5271973391408196,9.030758304195805,9.0,8,0,42,3.8726989775580214
10,025,0.0001,300.0,32.36210317460318,32.0,32,25,57,2.642255393801776,35.29384920634921,35.0,35,27,59,2.6136018343829357,7.2651455026455025,7.0,6,0,42,3.233300929307988
11,027,0.001,400.0,36.20136973708402,36.0,35,28,60,2.9766727988722588,27.603879389593676,27.0,27,19,52,3.11044353880079,6.287323037323038,6.0,5,0,41,3.3993482153080037
12,029,0.0001,400.0,32.82867424972688,32.0,32,24,60,3.203759254323988,24.380438275175116,24.0,24,14,53,3.210057108785748,4.858749437696806,4.0,3,0,39,3.1653806127381166
