exp,video,segment,SubSegment,frame,path,n_masks,n_masks^3,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim,avg_mask_area,avg_bbox_area,avg_mask_strength,avg_bbox_width,avg_bbox_height,mask_centroid_dist,bbox_centroid_dist,Label,label_LSTM,is_padding
04_07_2024,2024-07-04_11_51_08_772,3,1.0,64,04_07_2024/2024-07-04_11_51_08_772/3/64.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,65,04_07_2024/2024-07-04_11_51_08_772/3/65.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,66,04_07_2024/2024-07-04_11_51_08_772/3/66.jpg,2,8.0,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43315047, 0.31646964]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9.0,9.0,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,67,04_07_2024/2024-07-04_11_51_08_772/3/67.jpg,2,8.0,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.4342638, 0.31739944]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9.0,9.0,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,68,04_07_2024/2024-07-04_11_51_08_772/3/68.jpg,2,8.0,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43898204, 0.3175823]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9.0,9.0,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,69,04_07_2024/2024-07-04_11_51_08_772/3/69.jpg,1,1.0,[2120],"[[181.0, 197.0]]",[0.7708636],[224.9],[0],[3021.0],"[[181.0, 198.0]]","[[53.0, 57.0]]",2120.0,3021.0,224.9,53.0,53.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,70,04_07_2024/2024-07-04_11_51_08_772/3/70.jpg,1,1.0,[1466],"[[179.0, 195.0]]",[0.87480134],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]",1466.0,1849.0,223.83,43.0,43.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,71,04_07_2024/2024-07-04_11_51_08_772/3/71.jpg,1,1.0,[1466],"[[179.0, 195.0]]",[0.8748844],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]",1466.0,1849.0,223.83,43.0,43.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,72,04_07_2024/2024-07-04_11_51_08_772/3/72.jpg,1,1.0,[769],"[[176.0, 190.0]]",[0.8288507],[217.38],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",769.0,924.0,217.38,28.0,28.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,73,04_07_2024/2024-07-04_11_51_08_772/3/73.jpg,1,1.0,[769],"[[176.0, 190.0]]",[0.82750326],[217.41],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",769.0,924.0,217.41,28.0,28.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,74,04_07_2024/2024-07-04_11_51_08_772/3/74.jpg,1,1.0,[781],"[[177.0, 191.0]]",[0.82755965],[217.11],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",781.0,924.0,217.11,28.0,28.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,75,04_07_2024/2024-07-04_11_51_08_772/3/75.jpg,1,1.0,[344],"[[170.0, 191.0]]",[0.71345997],[200.67],[0],[440.0],"[[170.0, 192.0]]","[[20.0, 22.0]]",344.0,440.0,200.67,20.0,20.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,76,04_07_2024/2024-07-04_11_51_08_772/3/76.jpg,1,1.0,[276],"[[173.0, 188.0]]",[0.7637432],[206.38],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]",276.0,312.0,206.38,13.0,13.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,77,04_07_2024/2024-07-04_11_51_08_772/3/77.jpg,1,1.0,[276],"[[173.0, 188.0]]",[0.77110267],[206.02],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]",276.0,312.0,206.02,13.0,13.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,78,04_07_2024/2024-07-04_11_51_08_772/3/78.jpg,3,27.0,"[463, 269, 163]","[[166.0, 196.0], [171.0, 193.0], [173.0, 193.0]]","[0.55195934, 0.48261037, 0.4478361]","[190.62, 191.88, 196.27]","[0, 0, 0]","[713.0, 320.0, 190.0]","[[165.0, 195.0], [171.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [16.0, 20.0], [10.0, 19.0]]",298.3333333,407.6666667,192.9233333,19.0,19.0,5.15,6.18,0,0,0
