Frame,Centroids,Area
1,"[[161, 322]]",[571.0]
2,"[[161, 322]]",[579.5]
3,"[[163, 321]]",[385.0]
4,"[[161, 323]]",[580.0]
5,"[[159, 323]]",[685.5]
6,"[[155, 322]]",[1045.5]
7,"[[117, 378], [165, 321]]","[785.0, 292.0]"
8,"[[162, 321]]",[637.0]
9,"[[165, 321]]",[291.5]
10,"[[158, 323]]",[934.0]
11,"[[161, 320]]",[640.0]
12,"[[161, 320]]",[581.5]
13,"[[162, 322]]",[525.0]
14,"[[165, 321]]",[299.0]
15,"[[161, 320]]",[662.0]
16,"[[161, 319]]",[696.5]
17,"[[162, 320]]",[676.5]
18,"[[163, 320]]",[520.5]
19,"[[163, 320]]",[508.5]
20,"[[161, 320]]",[639.0]
21,"[[162, 320]]",[596.0]
22,"[[161, 320]]",[634.5]
23,"[[158, 320]]",[884.0]
24,"[[155, 322]]",[1022.5]
25,"[[161, 321]]",[651.5]
26,"[[161, 320]]",[651.0]
27,"[[161, 321]]",[637.5]
28,"[[163, 321]]",[503.5]
29,"[[165, 321]]",[300.5]
30,"[[165, 317]]",[372.5]
31,"[[187, 248], [150, 317]]","[7.0, 8806.0]"
32,"[[161, 322]]",[444.0]
33,"[[161, 323]]",[558.0]
34,"[[161, 323]]",[568.0]
35,"[[161, 323]]",[574.5]
36,"[[161, 324]]",[465.5]
37,"[[163, 323]]",[344.5]
38,"[[165, 323]]",[258.0]
39,"[[163, 322]]",[429.5]
40,"[[163, 321]]",[350.0]
41,"[[163, 320]]",[426.5]
42,"[[165, 319]]",[370.5]
43,"[[159, 322]]",[570.0]
44,"[[161, 324]]",[421.5]
45,"[[161, 322]]",[540.5]
46,"[[153, 316]]",[1078.0]
47,"[[159, 325]]",[1120.0]
48,"[[159, 321]]",[797.0]
49,"[[161, 321]]",[644.5]
50,"[[161, 319]]",[743.5]
51,"[[162, 320]]",[820.5]
52,"[[158, 324]]",[1631.5]
53,"[[157, 321]]",[1374.5]
54,"[[162, 316]]",[940.0]
55,"[[159, 320]]",[1685.0]
56,"[[158, 325]]",[1750.0]
57,"[[157, 323]]",[1615.5]
58,"[[157, 321]]",[1850.0]
59,"[[155, 318]]",[2228.5]
60,"[[118, 381], [156, 323]]","[856.0, 1428.5]"
61,"[[157, 322]]",[1690.0]
62,"[[153, 320]]",[4528.5]
63,"[[146, 314]]",[7402.0]
64,"[[156, 316]]",[2686.5]
65,"[[116, 319], [147, 315]]","[127.5, 7922.0]"
66,"[[158, 315]]",[2325.0]
67,"[[158, 312]]",[2359.0]
68,"[[156, 315], [305, 200]]","[2875.5, 817.5]"
69,"[[138, 290], [158, 320], [302, 202]]","[1.5, 2687.5, 720.5]"
70,"[[157, 319], [303, 197]]","[3110.5, 717.0]"
71,"[[131, 283], [149, 316], [301, 198]]","[151.5, 6042.5, 501.5]"
72,"[[156, 319], [303, 199]]","[1726.5, 722.5]"
73,"[[155, 319], [302, 204]]","[3118.5, 405.5]"
74,"[[155, 322], [298, 194]]","[1999.5, 626.5]"
75,"[[156, 318], [296, 198]]","[2609.5, 426.5]"
76,"[[157, 313], [298, 195]]","[1754.0, 776.0]"
77,"[[156, 319], [295, 194]]","[2099.0, 548.5]"
78,"[[181, 332], [160, 314]]","[12.0, 1784.0]"
79,"[[159, 313], [297, 203]]","[2802.0, 411.5]"
80,"[[162, 298]]",[2075.0]
81,"[[159, 308], [262, 225]]","[2416.5, 229.5]"
82,"[[160, 292], [264, 218]]","[5876.5, 184.0]"
83,"[[161, 311], [296, 196]]","[2814.5, 665.5]"
84,"[[142, 364], [167, 294]]","[2.5, 5530.0]"
85,"[[221, 349], [141, 257], [144, 252], [216, 257], [167, 302], [303, 209]]","[3.5, 19.5, 11.0, 196.5, 7491.0, 119.0]"
86,"[[175, 287], [298, 199]]","[3565.5, 558.0]"
87,"[[192, 336], [175, 301], [290, 197]]","[24.0, 2857.5, 316.5]"
88,"[[192, 337], [175, 301], [246, 254], [297, 190]]","[77.0, 2536.5, 1478.0, 325.5]"
89,"[[208, 377], [225, 364], [184, 276], [190, 221], [169, 298], [295, 199]]","[17.5, 132.5, 348.0, 70.5, 10401.5, 198.0]"
90,"[[192, 339], [195, 272], [185, 299], [242, 263]]","[27.5, 114.5, 3852.0, 393.0]"
91,"[[195, 272], [184, 300], [244, 260], [297, 190]]","[63.5, 4141.0, 799.0, 266.0]"
92,"[[184, 291], [246, 259], [290, 194]]","[4176.5, 686.0, 511.5]"
93,"[[220, 367], [166, 367], [243, 263], [145, 234], [176, 292], [293, 195]]","[11.5, 49.0, 438.5, 62.5, 7092.5, 240.5]"
94,"[[199, 338], [243, 263], [176, 298]]","[149.5, 582.0, 5595.0]"
95,"[[140, 234], [172, 295], [298, 200]]","[91.5, 6387.0, 483.5]"
96,"[[194, 336], [203, 325], [177, 269], [171, 292], [242, 265], [299, 192]]","[8.5, 6.5, 7.0, 4849.0, 664.0, 461.0]"
97,"[[247, 270], [169, 292]]","[351.5, 7584.0]"
98,"[[216, 380], [245, 266], [167, 294], [302, 207]]","[176.5, 534.0, 11725.0, 183.5]"
99,"[[209, 389], [219, 389], [247, 268], [158, 297], [300, 198]]","[30.5, 42.5, 416.0, 12530.5, 614.5]"
100,"[[245, 266], [159, 284], [298, 195]]","[507.0, 13510.5, 285.5]"
101,"[[174, 400], [223, 361], [223, 261], [162, 301]]","[22.0, 103.5, 45.5, 12538.0]"
102,"[[117, 383], [169, 291], [243, 259], [301, 197]]","[155.0, 3775.0, 1057.5, 759.5]"
103,"[[120, 387], [168, 303], [244, 264], [267, 231], [298, 200]]","[544.5, 3637.0, 700.5, 101.5, 533.5]"
104,"[[145, 265], [245, 272], [168, 296], [299, 197]]","[13.5, 368.5, 5417.0, 455.5]"
105,"[[173, 297], [245, 270], [301, 201]]","[3527.5, 440.0, 318.0]"
106,"[[170, 305], [245, 253]]","[3930.0, 1407.0]"
107,"[[215, 387], [179, 279], [173, 271], [140, 267], [245, 265], [227, 252], [163, 303]]","[291.0, 80.0, 24.0, 442.5, 614.5, 98.5, 9774.5]"
108,"[[221, 367], [181, 276], [240, 261], [170, 306], [263, 225]]","[140.0, 432.5, 975.0, 7991.5, 247.0]"
109,"[[215, 373], [178, 274], [245, 266], [226, 249], [169, 302], [301, 202]]","[6.0, 69.5, 610.0, 153.5, 7157.5, 495.5]"
110,"[[182, 279], [167, 307], [248, 257], [299, 198]]","[54.0, 7486.5, 1072.5, 616.0]"
111,"[[180, 277], [178, 264], [241, 264], [166, 310], [301, 202]]","[448.0, 6.0, 868.5, 8735.5, 596.5]"
112,"[[177, 278], [159, 329], [242, 252], [293, 200]]","[176.0, 10874.0, 1696.5, 179.5]"
113,"[[173, 400], [144, 399], [247, 269], [166, 308], [297, 197]]","[10.0, 33.5, 507.0, 12010.0, 246.0]"
114,"[[246, 268], [171, 303], [262, 226]]","[377.5, 5502.5, 233.0]"
115,"[[209, 377], [248, 279], [173, 300], [141, 235], [263, 229], [300, 203]]","[183.0, 127.0, 6892.0, 126.0, 366.0, 411.5]"
116,"[[170, 298], [245, 267], [303, 198]]","[3732.0, 482.5, 774.5]"
117,"[[269, 286], [162, 316], [248, 249], [304, 198]]","[4.5, 2735.5, 1615.5, 814.0]"
118,"[[162, 314], [245, 270], [285, 246], [303, 196]]","[2949.5, 418.5, 136.5, 755.0]"
119,"[[179, 296], [244, 252], [300, 205]]","[3907.5, 1217.0, 280.5]"
120,"[[167, 304], [245, 270], [263, 233], [301, 204]]","[2710.0, 409.5, 146.0, 201.0]"
121,"[[168, 304], [244, 272], [259, 229]]","[2760.0, 334.5, 232.5]"
122,"[[178, 295], [248, 248], [303, 207]]","[6160.0, 1592.0, 106.0]"
123,"[[167, 302], [244, 267], [265, 233], [303, 207]]","[3039.5, 550.5, 111.5, 197.5]"
124,"[[167, 302], [243, 266], [263, 229], [305, 205]]","[2339.5, 509.5, 243.0, 318.5]"
125,"[[201, 339], [171, 294], [245, 267]]","[28.5, 4049.5, 478.0]"
126,"[[173, 293], [245, 267], [302, 202]]","[3262.5, 510.5, 349.0]"
127,"[[174, 293], [245, 268]]","[2970.0, 532.0]"
128,"[[245, 258], [261, 235], [173, 285]]","[879.0, 11.0, 5354.5]"
129,"[[161, 314], [241, 263]]","[2048.0, 747.5]"
130,"[[247, 272], [212, 247], [174, 288], [262, 226]]","[301.0, 9.0, 3485.0, 259.0]"
131,"[[173, 288], [247, 249], [301, 208]]","[4716.0, 1662.5, 190.5]"
132,"[[246, 272], [170, 294], [263, 231], [302, 204]]","[293.0, 5802.5, 199.5, 515.5]"
133,"[[168, 296], [249, 249], [302, 204]]","[4545.0, 1488.0, 473.0]"
134,"[[167, 303], [241, 243], [245, 254], [304, 198]]","[2516.5, 73.0, 1199.5, 781.5]"
135,"[[169, 296], [247, 253], [304, 202]]","[5215.0, 1058.0, 606.0]"
136,"[[167, 295], [246, 251], [304, 202]]","[5357.0, 1449.0, 598.0]"
137,"[[161, 309], [248, 251], [303, 200]]","[2606.0, 1219.0, 652.5]"
138,"[[244, 264], [163, 298], [303, 200]]","[484.5, 4462.0, 645.0]"
139,"[[165, 302], [138, 226], [246, 248], [306, 197]]","[7362.5, 3.0, 1860.5, 800.5]"
140,"[[168, 290], [304, 200]]","[5681.0, 654.0]"
141,"[[166, 285], [251, 253], [306, 199]]","[4428.0, 880.5, 619.0]"
142,"[[165, 292], [250, 246]]","[2939.5, 1431.5]"
143,"[[164, 300], [247, 249], [307, 201]]","[4226.0, 1596.5, 550.5]"
144,"[[167, 293], [246, 251], [305, 205]]","[3262.0, 1435.0, 357.0]"
145,"[[167, 292], [248, 249], [305, 205]]","[7327.5, 1437.5, 390.5]"
146,"[[159, 290], [250, 249]]","[3825.0, 1212.0]"
147,"[[140, 250], [161, 299], [253, 234], [248, 249], [305, 199]]","[24.0, 3985.0, 7.5, 1555.5, 661.0]"
148,"[[155, 328]]",[1782.5]
