,exp,video,segment,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,22_08_2024,2024-08-22_10_40_00_000,15.0,1.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,15.0,2.0,[],[],[],[],[],[],[],[],[]
0,22_08_2024,2024-08-22_10_40_00_000,15.0,3.0,1,[1023],"[[190.0, 262.0]]",[0.9126646],[212.2],[0],[1333.0],"[[192.0, 266.0]]","[[31.0, 43.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,4.0,1,[1023],"[[190.0, 262.0]]",[0.9126646],[212.2],[0],[1333.0],"[[192.0, 266.0]]","[[31.0, 43.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,5.0,1,[731],"[[188.0, 264.0]]",[0.7777705],[185.29],[0],[875.0],"[[189.0, 266.0]]","[[25.0, 35.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,6.0,1,[731],"[[188.0, 264.0]]",[0.77727705],[185.29],[0],[875.0],"[[189.0, 266.0]]","[[25.0, 35.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,7.0,1,[782],"[[189.0, 269.0]]",[0.69013244],[183.56],[0],[1395.0],"[[191.0, 272.0]]","[[31.0, 45.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,8.0,1,[780],"[[189.0, 269.0]]",[0.6875938],[183.52],[0],[1395.0],"[[191.0, 272.0]]","[[31.0, 45.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,9.0,1,[381],"[[193.0, 262.0]]",[0.52567315],[177.52],[0],[544.0],"[[194.0, 265.0]]","[[16.0, 34.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,10.0,1,[381],"[[193.0, 262.0]]",[0.5173454],[177.52],[0],[544.0],"[[194.0, 265.0]]","[[16.0, 34.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,11.0,2,"[163, 217]","[[198.0, 269.0], [199.0, 268.0]]","[0.4303962, 0.3629115]","[174.66, 173.92]","[0, 0]","[234.0, 391.0]","[[199.0, 271.0], [200.0, 269.0]]","[[13.0, 18.0], [17.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,12.0,2,"[163, 217]","[[198.0, 269.0], [199.0, 268.0]]","[0.43083787, 0.36216924]","[174.66, 173.92]","[0, 0]","[234.0, 374.0]","[[199.0, 271.0], [200.0, 269.0]]","[[13.0, 18.0], [17.0, 22.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,13.0,1,[336],"[[196.0, 267.0]]",[0.35274395],[173.68],[0],[550.0],"[[197.0, 267.0]]","[[25.0, 22.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,14.0,1,[336],"[[196.0, 267.0]]",[0.3527372],[173.68],[0],[550.0],"[[197.0, 267.0]]","[[25.0, 22.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,15.0,2,"[840, 460]","[[67.0, 353.0], [195.0, 265.0]]","[0.89293134, 0.69836664]","[201.41, 186.27]","[0, 0]","[1330.0, 616.0]","[[69.0, 354.0], [196.0, 266.0]]","[[38.0, 35.0], [22.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,16.0,2,"[840, 460]","[[67.0, 353.0], [195.0, 265.0]]","[0.8929313, 0.69836634]","[201.41, 186.27]","[0, 0]","[1330.0, 616.0]","[[69.0, 354.0], [196.0, 266.0]]","[[38.0, 35.0], [22.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,17.0,2,"[474, 50]","[[196.0, 265.0], [59.0, 334.0]]","[0.46007702, 0.4043528]","[181.14, 149.67]","[0, 0]","[638.0, 56.0]","[[198.0, 267.0], [59.0, 334.0]]","[[29.0, 22.0], [7.0, 8.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,18.0,2,"[474, 50]","[[196.0, 265.0], [59.0, 334.0]]","[0.4600769, 0.4043529]","[181.14, 149.67]","[0, 0]","[638.0, 56.0]","[[198.0, 267.0], [59.0, 334.0]]","[[29.0, 22.0], [7.0, 8.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,19.0,1,[527],"[[197.0, 265.0]]",[0.5516092],[181.55],[0],[783.0],"[[198.0, 265.0]]","[[27.0, 29.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,20.0,1,[527],"[[197.0, 265.0]]",[0.55160767],[181.55],[0],[783.0],"[[198.0, 265.0]]","[[27.0, 29.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,21.0,1,[428],"[[199.0, 261.0]]",[0.66107845],[186.06],[0],[598.0],"[[202.0, 261.0]]","[[23.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,22.0,1,[428],"[[199.0, 261.0]]",[0.66107833],[186.06],[0],[598.0],"[[202.0, 261.0]]","[[23.0, 26.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,23.0,1,[421],"[[202.0, 260.0]]",[0.5294863],[192.48],[0],[616.0],"[[204.0, 260.0]]","[[22.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,24.0,1,[421],"[[202.0, 260.0]]",[0.5294862],[192.48],[0],[616.0],"[[204.0, 260.0]]","[[22.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,25.0,1,[678],"[[194.0, 261.0]]",[0.55113524],[185.78],[0],[990.0],"[[194.0, 259.0]]","[[33.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,26.0,1,[678],"[[194.0, 261.0]]",[0.5511703],[185.78],[0],[990.0],"[[194.0, 259.0]]","[[33.0, 30.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,27.0,2,"[652, 132]","[[196.0, 263.0], [436.0, 312.0]]","[0.76144886, 0.70999384]","[185.7, 195.66]","[0, 0]","[1023.0, 154.0]","[[196.0, 262.0], [436.0, 312.0]]","[[33.0, 31.0], [11.0, 14.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,28.0,2,"[652, 132]","[[196.0, 263.0], [436.0, 312.0]]","[0.76144886, 0.70999384]","[185.7, 195.66]","[0, 0]","[1023.0, 154.0]","[[196.0, 262.0], [436.0, 312.0]]","[[33.0, 31.0], [11.0, 14.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,29.0,5,"[116, 55, 63, 533, 341]","[[433.0, 308.0], [68.0, 373.0], [418.0, 285.0], [198.0, 262.0], [202.0, 260.0]]","[0.5148861, 0.49677357, 0.38472992, 0.36595047, 0.33030146]","[183.77, 166.03, 168.38, 178.89, 179.77]","[0, 0, 0, 0, 0]","[182.0, 60.0, 80.0, 783.0, 483.0]","[[433.0, 309.0], [69.0, 374.0], [418.0, 286.0], [199.0, 262.0], [204.0, 260.0]]","[[13.0, 14.0], [6.0, 10.0], [8.0, 10.0], [29.0, 27.0], [21.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,30.0,5,"[116, 55, 63, 533, 341]","[[433.0, 308.0], [68.0, 373.0], [418.0, 285.0], [198.0, 262.0], [202.0, 260.0]]","[0.5148861, 0.49677357, 0.38472992, 0.36595047, 0.33030146]","[183.77, 166.03, 168.38, 178.89, 179.77]","[0, 0, 0, 0, 0]","[182.0, 60.0, 80.0, 783.0, 483.0]","[[433.0, 309.0], [69.0, 374.0], [418.0, 286.0], [199.0, 262.0], [204.0, 260.0]]","[[13.0, 14.0], [6.0, 10.0], [8.0, 10.0], [29.0, 27.0], [21.0, 23.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,31.0,2,"[514, 380]","[[199.0, 262.0], [201.0, 261.0]]","[0.6660416, 0.59407955]","[181.04, 183.64]","[0, 0]","[754.0, 504.0]","[[198.0, 261.0], [203.0, 262.0]]","[[26.0, 29.0], [18.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,32.0,2,"[514, 380]","[[199.0, 262.0], [201.0, 261.0]]","[0.6663326, 0.59401095]","[181.04, 183.64]","[0, 0]","[754.0, 504.0]","[[198.0, 261.0], [203.0, 262.0]]","[[26.0, 29.0], [18.0, 28.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,33.0,1,[379],"[[201.0, 263.0]]",[0.71012694],[183.39],[0],[576.0],"[[203.0, 264.0]]","[[24.0, 24.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,34.0,1,[379],"[[201.0, 263.0]]",[0.7090721],[183.4],[0],[576.0],"[[203.0, 264.0]]","[[24.0, 24.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,35.0,2,"[479, 83]","[[200.0, 262.0], [524.0, 397.0]]","[0.7308238, 0.7277592]","[184.8, 193.48]","[0, 0]","[704.0, 99.0]","[[202.0, 262.0], [525.0, 397.0]]","[[22.0, 32.0], [9.0, 11.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,36.0,2,"[465, 87]","[[200.0, 262.0], [525.0, 397.0]]","[0.74356633, 0.7283694]","[185.05, 192.53]","[0, 0]","[672.0, 99.0]","[[202.0, 262.0], [525.0, 397.0]]","[[21.0, 32.0], [9.0, 11.0]]"
0,22_08_2024,2024-08-22_10_40_00_000,15.0,37.0,3,"[90, 511, 50]","[[524.0, 396.0], [198.0, 263.0], [437.0, 311.0]]","[0.7067411, 0.6443954, 0.51780295]","[187.02, 178.96, 191.77]","[0, 0, 0]","[110.0, 798.0, 66.0]","[[525.0, 397.0], [200.0, 264.0], [437.0, 311.0]]","[[11.0, 10.0], [21.0, 38.0], [6.0, 11.0]]"
