exp,video,segment,frame,path,n_masks,n_masks^3,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim,avg_mask_area,avg_bbox_area,avg_mask_strength,avg_bbox_width,avg_bbox_height,mask_centroid_dist,bbox_centroid_dist,Label,label_LSTM,is_padding
04_07_2024,2024-07-04_11_51_08_772,2,103,04_07_2024/2024-07-04_11_51_08_772/2/103.jpg,2,8,"[118, 198]","[[282.0, 164.0], [281.0, 162.0]]","[0.58505154, 0.40290353]","[198.36, 198.99]","[0, 0]","[126.0, 240.0]","[[282.0, 164.0], [281.0, 162.0]]","[[9.0, 14.0], [12.0, 20.0]]",158,183,198.675,10.5,10.5,2.24,2.24,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,104,04_07_2024/2024-07-04_11_51_08_772/2/104.jpg,2,8,"[118, 198]","[[282.0, 164.0], [281.0, 162.0]]","[0.5849741, 0.40308228]","[198.36, 198.99]","[0, 0]","[126.0, 240.0]","[[282.0, 164.0], [281.0, 162.0]]","[[9.0, 14.0], [12.0, 20.0]]",158,183,198.675,10.5,10.5,2.24,2.24,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,105,04_07_2024/2024-07-04_11_51_08_772/2/105.jpg,2,8,"[130, 208]","[[281.0, 164.0], [280.0, 161.0]]","[0.5417702, 0.39804193]","[200.38, 200.33]","[0, 0]","[150.0, 260.0]","[[282.0, 164.0], [280.0, 161.0]]","[[10.0, 15.0], [13.0, 20.0]]",169,205,200.355,11.5,11.5,3.16,3.61,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,106,04_07_2024/2024-07-04_11_51_08_772/2/106.jpg,2,8,"[130, 208]","[[281.0, 164.0], [280.0, 161.0]]","[0.54170984, 0.39807338]","[200.38, 200.33]","[0, 0]","[150.0, 260.0]","[[282.0, 164.0], [280.0, 161.0]]","[[10.0, 15.0], [13.0, 20.0]]",169,205,200.355,11.5,11.5,3.16,3.61,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,107,04_07_2024/2024-07-04_11_51_08_772/2/107.jpg,2,8,"[73, 175]","[[281.0, 164.0], [279.0, 160.0]]","[0.53110915, 0.3922359]","[192.42, 195.35]","[0, 0]","[88.0, 240.0]","[[281.0, 164.0], [279.0, 160.0]]","[[8.0, 11.0], [12.0, 20.0]]",124,164,193.885,10,10,4.47,4.47,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,108,04_07_2024/2024-07-04_11_51_08_772/2/108.jpg,2,8,"[73, 175]","[[281.0, 164.0], [279.0, 160.0]]","[0.53074634, 0.39176974]","[192.42, 195.35]","[0, 0]","[88.0, 240.0]","[[281.0, 164.0], [279.0, 160.0]]","[[8.0, 11.0], [12.0, 20.0]]",124,164,193.885,10,10,4.47,4.47,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,109,04_07_2024/2024-07-04_11_51_08_772/2/109.jpg,2,8,"[116, 144]","[[280.0, 162.0], [279.0, 160.0]]","[0.4818259, 0.46756136]","[194.69, 198.41]","[0, 0]","[135.0, 216.0]","[[281.0, 162.0], [279.0, 160.0]]","[[9.0, 15.0], [12.0, 18.0]]",130,175.5,196.55,10.5,10.5,2.24,2.83,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,110,04_07_2024/2024-07-04_11_51_08_772/2/110.jpg,2,8,"[106, 144]","[[281.0, 162.0], [279.0, 160.0]]","[0.48141006, 0.46544158]","[194.12, 198.41]","[0, 0]","[135.0, 216.0]","[[281.0, 162.0], [279.0, 160.0]]","[[9.0, 15.0], [12.0, 18.0]]",125,175.5,196.265,10.5,10.5,2.83,2.83,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,111,04_07_2024/2024-07-04_11_51_08_772/2/111.jpg,2,8,"[141, 204]","[[281.0, 164.0], [280.0, 163.0]]","[0.5855617, 0.3773129]","[193.01, 192.69]","[0, 0]","[150.0, 228.0]","[[282.0, 163.0], [281.0, 162.0]]","[[10.0, 15.0], [12.0, 19.0]]",172.5,189,192.85,11,11,1.41,1.41,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,112,04_07_2024/2024-07-04_11_51_08_772/2/112.jpg,2,8,"[141, 204]","[[281.0, 164.0], [280.0, 163.0]]","[0.5855535, 0.37706783]","[193.01, 192.69]","[0, 0]","[150.0, 228.0]","[[282.0, 163.0], [281.0, 162.0]]","[[10.0, 15.0], [12.0, 19.0]]",172.5,189,192.85,11,11,1.41,1.41,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,113,04_07_2024/2024-07-04_11_51_08_772/2/113.jpg,1,1,[214],"[[279.0, 159.0]]",[0.6852457],[202.88],[0],[322.0],"[[279.0, 159.0]]","[[14.0, 23.0]]",214,322,202.88,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,114,04_07_2024/2024-07-04_11_51_08_772/2/114.jpg,1,1,[213],"[[279.0, 159.0]]",[0.6840311],[202.94],[0],[308.0],"[[279.0, 159.0]]","[[14.0, 22.0]]",213,308,202.94,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,115,04_07_2024/2024-07-04_11_51_08_772/2/115.jpg,1,1,[173],"[[277.0, 158.0]]",[0.63297474],[200.05],[0],[294.0],"[[278.0, 158.0]]","[[14.0, 21.0]]",173,294,200.05,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,116,04_07_2024/2024-07-04_11_51_08_772/2/116.jpg,1,1,[173],"[[277.0, 158.0]]",[0.6333909],[200.05],[0],[294.0],"[[278.0, 158.0]]","[[14.0, 21.0]]",173,294,200.05,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,117,04_07_2024/2024-07-04_11_51_08_772/2/117.jpg,1,1,[398],"[[277.0, 155.0]]",[0.63372827],[207.58],[0],[532.0],"[[278.0, 155.0]]","[[19.0, 28.0]]",398,532,207.58,19,19,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,118,04_07_2024/2024-07-04_11_51_08_772/2/118.jpg,1,1,[398],"[[277.0, 155.0]]",[0.63340497],[207.58],[0],[532.0],"[[278.0, 155.0]]","[[19.0, 28.0]]",398,532,207.58,19,19,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,119,04_07_2024/2024-07-04_11_51_08_772/2/119.jpg,2,8,"[121, 184]","[[280.0, 161.0], [279.0, 158.0]]","[0.5636733, 0.54794306]","[194.33, 199.09]","[0, 0]","[154.0, 294.0]","[[280.0, 162.0], [279.0, 158.0]]","[[11.0, 14.0], [14.0, 21.0]]",152.5,224,196.71,12.5,12.5,3.16,4.12,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,120,04_07_2024/2024-07-04_11_51_08_772/2/120.jpg,2,8,"[121, 184]","[[280.0, 161.0], [279.0, 158.0]]","[0.5637791, 0.5481127]","[194.33, 199.09]","[0, 0]","[154.0, 294.0]","[[280.0, 162.0], [279.0, 158.0]]","[[11.0, 14.0], [14.0, 21.0]]",152.5,224,196.71,12.5,12.5,3.16,4.12,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,121,04_07_2024/2024-07-04_11_51_08_772/2/121.jpg,2,8,"[197, 282]","[[276.0, 154.0], [276.0, 154.0]]","[0.52669567, 0.34044704]","[211.23, 206.43]","[0, 0]","[216.0, 360.0]","[[277.0, 154.0], [277.0, 155.0]]","[[12.0, 18.0], [15.0, 24.0]]",239.5,288,208.83,13.5,13.5,0,1,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,122,04_07_2024/2024-07-04_11_51_08_772/2/122.jpg,2,8,"[201, 314]","[[276.0, 154.0], [276.0, 153.0]]","[0.54284257, 0.33115634]","[210.02, 204.39]","[0, 0]","[228.0, 400.0]","[[276.0, 154.0], [276.0, 154.0]]","[[12.0, 19.0], [16.0, 25.0]]",257.5,314,207.205,14,14,1,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,123,04_07_2024/2024-07-04_11_51_08_772/2/123.jpg,1,1,[102],"[[274.0, 152.0]]",[0.67380875],[207.43],[0],[112.0],"[[275.0, 152.0]]","[[8.0, 14.0]]",102,112,207.43,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,124,04_07_2024/2024-07-04_11_51_08_772/2/124.jpg,1,1,[100],"[[274.0, 151.0]]",[0.68280995],[207.73],[0],[112.0],"[[275.0, 152.0]]","[[8.0, 14.0]]",100,112,207.73,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,125,04_07_2024/2024-07-04_11_51_08_772/2/125.jpg,1,1,[81],"[[276.0, 154.0]]",[0.60349506],[205.64],[0],[96.0],"[[276.0, 154.0]]","[[8.0, 12.0]]",81,96,205.64,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,126,04_07_2024/2024-07-04_11_51_08_772/2/126.jpg,1,1,[81],"[[276.0, 154.0]]",[0.60377735],[205.64],[0],[96.0],"[[276.0, 154.0]]","[[8.0, 12.0]]",81,96,205.64,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,127,04_07_2024/2024-07-04_11_51_08_772/2/127.jpg,1,1,[118],"[[278.0, 154.0]]",[0.44234988],[202.46],[0],[144.0],"[[278.0, 154.0]]","[[9.0, 16.0]]",118,144,202.46,9,9,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,128,04_07_2024/2024-07-04_11_51_08_772/2/128.jpg,1,1,[120],"[[278.0, 154.0]]",[0.44421926],[201.96],[0],[144.0],"[[278.0, 154.0]]","[[9.0, 16.0]]",120,144,201.96,9,9,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,129,04_07_2024/2024-07-04_11_51_08_772/2/129.jpg,1,1,[121],"[[277.0, 156.0]]",[0.7197098],[208.31],[0],[132.0],"[[277.0, 156.0]]","[[11.0, 12.0]]",121,132,208.31,11,11,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,130,04_07_2024/2024-07-04_11_51_08_772/2/130.jpg,1,1,[121],"[[277.0, 156.0]]",[0.7181319],[208.31],[0],[132.0],"[[277.0, 156.0]]","[[11.0, 12.0]]",121,132,208.31,11,11,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,131,04_07_2024/2024-07-04_11_51_08_772/2/131.jpg,1,1,[201],"[[278.0, 155.0]]",[0.6529145],[220.62],[0],[240.0],"[[278.0, 155.0]]","[[15.0, 16.0]]",201,240,220.62,15,15,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,132,04_07_2024/2024-07-04_11_51_08_772/2/132.jpg,1,1,[215],"[[277.0, 155.0]]",[0.6534926],[220.23],[0],[240.0],"[[278.0, 156.0]]","[[15.0, 16.0]]",215,240,220.23,15,15,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,133,04_07_2024/2024-07-04_11_51_08_772/2/133.jpg,1,1,[67],"[[278.0, 155.0]]",[0.6118251],[209.36],[0],[88.0],"[[278.0, 156.0]]","[[8.0, 11.0]]",67,88,209.36,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,134,04_07_2024/2024-07-04_11_51_08_772/2/134.jpg,1,1,[67],"[[278.0, 155.0]]",[0.6118398],[209.36],[0],[88.0],"[[278.0, 156.0]]","[[8.0, 11.0]]",67,88,209.36,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,135,04_07_2024/2024-07-04_11_51_08_772/2/135.jpg,1,1,[156],"[[276.0, 154.0]]",[0.5421764],[209.5],[0],[187.0],"[[276.0, 154.0]]","[[11.0, 17.0]]",156,187,209.5,11,11,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,374,04_07_2024/2024-07-04_11_51_08_772/2/374.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,375,04_07_2024/2024-07-04_11_51_08_772/2/375.jpg,1,1,[89],"[[227.0, 166.0]]",[0.4917477],[201.93],[0],[110.0],"[[227.0, 166.0]]","[[11.0, 10.0]]",89,110,201.93,11,11,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,376,04_07_2024/2024-07-04_11_51_08_772/2/376.jpg,1,1,[189],"[[224.0, 167.0]]",[0.37752998],[200.1],[0],[224.0],"[[225.0, 168.0]]","[[14.0, 16.0]]",189,224,200.1,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,377,04_07_2024/2024-07-04_11_51_08_772/2/377.jpg,1,1,[190],"[[224.0, 167.0]]",[0.38133934],[200.02],[0],[224.0],"[[225.0, 168.0]]","[[14.0, 16.0]]",190,224,200.02,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,378,04_07_2024/2024-07-04_11_51_08_772/2/378.jpg,1,1,[201],"[[224.0, 167.0]]",[0.37253118],[199.94],[0],[238.0],"[[225.0, 168.0]]","[[14.0, 17.0]]",201,238,199.94,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,379,04_07_2024/2024-07-04_11_51_08_772/2/379.jpg,1,1,[171],"[[226.0, 169.0]]",[0.32756373],[203.63],[0],[238.0],"[[226.0, 170.0]]","[[14.0, 17.0]]",171,238,203.63,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,380,04_07_2024/2024-07-04_11_51_08_772/2/380.jpg,1,1,[179],"[[226.0, 168.0]]",[0.3863724],[203.64],[0],[238.0],"[[226.0, 169.0]]","[[14.0, 17.0]]",179,238,203.64,14,14,0,0,0,0,0
