,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
0,0.0,2.0,7535.0,"[167.0, 301.0]",0.9784224,152.51,1.0,10492.0,"[171.0, 307.0]","[86.0, 122.0]"
1,0.0,2.0,504.0,"[245.0, 269.0]",0.6983948,164.11,2.0,660.0,"[246.0, 270.0]","[20.0, 33.0]"
0,1.0,2.0,11064.0,"[169.0, 291.0]",0.8557422,155.71,1.0,16137.0,"[174.0, 281.0]","[99.0, 163.0]"
1,1.0,2.0,679.0,"[244.0, 265.0]",0.77443266,163.74,2.0,840.0,"[244.0, 268.0]","[24.0, 35.0]"
0,2.0,2.0,12608.0,"[158.0, 301.0]",0.5230785,151.54,1.0,18338.0,"[166.0, 305.0]","[106.0, 173.0]"
1,2.0,2.0,588.0,"[246.0, 266.0]",0.75065166,164.76,2.0,836.0,"[246.0, 268.0]","[22.0, 38.0]"
0,3.0,3.0,12347.0,"[160.0, 286.0]",0.52980024,156.69,1.0,15805.0,"[162.0, 293.0]","[109.0, 145.0]"
1,3.0,3.0,608.0,"[245.0, 265.0]",0.7931022,164.17,2.0,760.0,"[245.0, 267.0]","[20.0, 38.0]"
2,3.0,3.0,362.0,"[297.0, 195.0]",0.74308956,168.53,5.0,464.0,"[298.0, 196.0]","[16.0, 29.0]"
0,4.0,2.0,11786.0,"[164.0, 293.0]",0.55155534,155.27,1.0,15873.0,"[165.0, 290.0]","[111.0, 143.0]"
1,4.0,2.0,581.0,"[243.0, 264.0]",0.6472364,163.22,2.0,770.0,"[242.0, 267.0]","[22.0, 35.0]"
0,5.0,3.0,4089.0,"[170.0, 292.0]",0.9258204,154.09,1.0,7776.0,"[172.0, 292.0]","[81.0, 96.0]"
1,5.0,3.0,1256.0,"[242.0, 258.0]",0.8571577,163.77,2.0,1305.0,"[242.0, 263.0]","[29.0, 45.0]"
2,5.0,3.0,642.0,"[298.0, 196.0]",0.6091496,169.54,5.0,740.0,"[297.0, 197.0]","[20.0, 37.0]"
0,6.0,3.0,3446.0,"[170.0, 302.0]",0.92959166,150.82,1.0,5360.0,"[175.0, 305.0]","[67.0, 80.0]"
